case_id,group,instrument,kind,spot,strike,tau,rate,vol,div,method,settings,seed,steps,n_paths,n_samples,pilot_paths,total_paths,antithetic,control_variate,control_beta,variance_reduction,n_dates,average,reference,reference_price,price,error,abs_error,rel_error,se,ci_low,ci_high,ci_status,z_score,covered_95,criterion,outcome,expected,status,reason
eu-call-K80-T0.25-v0.1-r0.05-q0,european,european,call,100.0,80.0,0.25,0.05,0.1,0.0,crr,steps=1000,,1000,,,,,,,,,,,bsm_price,20.993777025936524,20.99377699310359,-3.283293281697297e-08,3.283293281697297e-08,-1.5639364358500092e-09,,,,,,,tolerance,agree,agree,pass,
eu-call-K80-T0.25-v0.1-r0.05-q0,european,european,call,100.0,80.0,0.25,0.05,0.1,0.0,mc_plain,n_paths=65536,3848307356,,65536,65536,0,65536,False,False,0.0,1.0,,,bsm_price,20.993777025936524,20.97538142032673,-0.018395605609793364,0.018395605609793364,-0.0008762408778118736,0.019466932147263097,20.937226934428608,21.013535906224853,normal,-0.9449668530528909,True,z_score,agree,agree,pass,
eu-call-K80-T0.25-v0.1-r0.05-q0,european,european,call,100.0,80.0,0.25,0.05,0.1,0.0,mc_antithetic_control,n_paths=65536+4096 pilot; antithetic; control,1298522769,,65536,32768,4096,69632,True,True,1.0000000000000004,3.9283537790115334e+29,,,bsm_price,20.993777025936524,20.99377596048949,-1.065447033710143e-06,1.065447033710143e-06,-5.0750612069178806e-08,3.016179296017913e-17,20.99377596048949,20.99377596048949,normal,,,z_score,degenerate,agree,degenerate,"undeclared degenerate sample, logged: SE=3e-17 is below the floating-point resolution floor (1e-12 x price scale): the control variate reproduced every sampled payoff exactly, so z is undefined; the residual error=-1.07e-06 is the unsampled region where the payoff is not linear in the control"
eu-call-K80-T0.25-v0.1-r0.01-q0.03,european,european,call,100.0,80.0,0.25,0.01,0.1,0.03,crr,steps=1000,,1000,,,,,,,,,,,bsm_price,19.45256167967304,19.452561486861907,-1.928111323934445e-07,1.928111323934445e-07,-9.911863309752286e-09,,,,,,,tolerance,agree,agree,pass,
eu-call-K80-T0.25-v0.1-r0.01-q0.03,european,european,call,100.0,80.0,0.25,0.01,0.1,0.03,mc_plain,n_paths=65536,230116052,,65536,65536,0,65536,False,False,0.0,1.0,,,bsm_price,19.45256167967304,19.461971593034818,0.009409913361778877,0.009409913361778877,0.00048373646189806295,0.019375932552248457,19.423995463065534,19.4999477230041,normal,0.48564957255112423,True,z_score,agree,agree,pass,
eu-call-K80-T0.25-v0.1-r0.01-q0.03,european,european,call,100.0,80.0,0.25,0.01,0.1,0.03,mc_antithetic_control,n_paths=65536+4096 pilot; antithetic; control,1762912202,,65536,32768,4096,69632,True,True,0.9999999999999991,3.25238841412181e+29,,,bsm_price,19.45256167967304,19.45255569011704,-5.989555997842899e-06,5.989555997842899e-06,-3.0790577079119036e-07,3.308314614266523e-17,19.45255569011704,19.45255569011704,normal,,,z_score,degenerate,agree,degenerate,"undeclared degenerate sample, logged: SE=3.3e-17 is below the floating-point resolution floor (1e-12 x price scale): the control variate reproduced every sampled payoff exactly, so z is undefined; the residual error=-5.99e-06 is the unsampled region where the payoff is not linear in the control"
eu-call-K80-T0.25-v0.3-r0.05-q0,european,european,call,100.0,80.0,0.25,0.05,0.3,0.0,crr,steps=1000,,1000,,,,,,,,,,,bsm_price,21.324826435469248,21.324955814501784,0.00012937903253629202,0.00012937903253629202,6.06706145664557e-06,,,,,,,tolerance,agree,agree,pass,
eu-call-K80-T0.25-v0.3-r0.05-q0,european,european,call,100.0,80.0,0.25,0.05,0.3,0.0,mc_plain,n_paths=65536,68951034,,65536,65536,0,65536,False,False,0.0,1.0,,,bsm_price,21.324826435469248,21.36250462306069,0.03767818759144248,0.03767818759144248,0.0017668696017508,0.056888661208987265,21.251004895962375,21.474004350159007,normal,0.6623145419616604,True,z_score,agree,agree,pass,
eu-call-K80-T0.25-v0.3-r0.05-q0,european,european,call,100.0,80.0,0.25,0.05,0.3,0.0,mc_antithetic_control,n_paths=65536+4096 pilot; antithetic; control,41921767,,65536,32768,4096,69632,True,True,1.6431856750506812,400.0587590869731,,,bsm_price,21.324826435469248,21.32404775934055,-0.0007786761286965316,0.0007786761286965316,-3.6515004286336035e-05,0.0027568690412513638,21.318644395309605,21.3294511233715,normal,-0.28244944429536073,True,z_score,agree,agree,pass,
eu-call-K80-T0.25-v0.3-r0.01-q0.03,european,european,call,100.0,80.0,0.25,0.01,0.3,0.03,crr,steps=1000,,1000,,,,,,,,,,,bsm_price,19.885527271999877,19.8856310729615,0.00010380096162165842,0.00010380096162165842,5.219925034012901e-06,,,,,,,tolerance,agree,agree,pass,
